state,year,total_households,median_income_household,median_income_family,median_income_married,median_income_nonfamily,mean_income_household,mean_income_family,mean_income_married,mean_income_nonfamily
WISCONSIN,2014,2293250,52738,67232,77864,31143,68319,82125,93709,41231
WYOMING,2014,225514,58252,72086,81531,33857,72367,84442,94190,46403
ALABAMA,2015,1848325,43623,55341,69231,24626,60511,71994,86132,35436
ALASKA,2015,250969,72515,84232,98004,45789,89746,100810,115369,61977
ARIZONA,2015,2412212,50255,59480,71490,32283,68297,78365,91195,45752
ARKANSAS,2015,1138025,41371,51782,62183,23543,57304,67812,79172,34217
CALIFORNIA,2015,12717801,61818,70720,86542,40876,87877,97665,114663,61200
COLORADO,2015,2024468,60629,74826,86753,37978,81635,96206,109188,52329
CONNECTICUT,2015,1352583,70331,89031,107055,40013,99992,120409,141996,56590
DELAWARE,2015,344022,60509,72993,87353,37175,79262,91588,106904,50455
FLORIDA,2015,7300494,47507,57504,69366,30475,67975,79510,92990,44388
GEORGIA,2015,3574362,49620,59410,74378,30883,69010,79648,95509,43980
HAWAII,2015,450572,69515,80778,90635,41355,87329,98273,108907,54698
IDAHO,2015,589320,47583,57573,64914,27072,62311,72438,80444,36989
ILLINOIS,2015,4786388,57574,71546,86045,34356,79556,94076,110235,49637
INDIANA,2015,2501937,49255,61119,72484,29056,64649,76352,88755,39064
IOWA,2015,1236409,53183,67466,77166,30166,68446,82413,92823,40564
KANSAS,2015,1113472,52205,66389,76947,30220,70093,84265,95761,40750
KENTUCKY,2015,1708499,43740,55367,66861,24802,60031,71153,83009,35716
LOUISIANA,2015,1727919,45047,57144,75887,25719,63904,75804,93697,38784
MAINE,2015,553284,49331,62279,71983,27780,64985,77831,87840,39999
MARYLAND,2015,2166389,74551,90089,109228,46429,97801,113668,133988,61007
MASSACHUSETTS,2015,2549721,68563,87085,105557,39687,94143,112945,133020,57923
MICHIGAN,2015,3841148,49576,62247,75133,29391,66760,79572,93171,40543
MINNESOTA,2015,2124745,61492,77055,88259,35623,80444,96258,108921,48032
MISSISSIPPI,2015,1096593,39665,49274,64377,21845,54906,64296,79692,32337
MISSOURI,2015,2364688,48173,60809,72151,28513,65312,77951,90253,39654
MONTANA,2015,409394,47169,61271,69209,27458,63139,76701,85719,38385
NEBRASKA,2015,736613,52997,67225,77573,30899,69392,83230,94241,41297
NEVADA,2015,1016709,51847,60916,72123,34648,69150,78418,90737,48813
NEW HAMPSHIRE,2015,520251,66779,81726,92527,37499,85727,100306,112566,52139
NEW JERSEY,2015,3189486,72093,88335,106656,39809,99026,115568,135217,57536
NEW MEXICO,2015,763603,44963,55049,68794,27466,62215,72050,85832,41094
NEW YORK,2015,7262279,59269,71913,90257,36916,86825,100948,121531,58432
NORTH CAROLINA,2015,3775581,46868,57856,71565,28639,65338,77040,91373,40207
NORTH DAKOTA,2015,299638,57181,74708,84437,33751,76185,93044,103913,47072
