state,year,population_16_plus,in_labor_force_16_plus,employed_16_plus,unemployment_rate_total,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_16_19,unemployment_rate_age_20_24,unemployment_rate_age_25_44,unemployment_rate_age_45_54,unemployment_rate_age_55_64,unemployment_rate_age_65_74,unemployment_rate_age_75_plus,unemployment_rate_white,unemployment_rate_black,unemployment_rate_native_american,unemployment_rate_asian,unemployment_rate_pacific_islander,unemployment_rate_other_race,unemployment_rate_two_or_more_races,unemployment_rate_hispanic,unemployment_rate_white_non_hispanic
VERMONT,2011,511749.0,68.6,64.2,6.3,6.5,4.9,18.4,12.3,5.6,4.5,4.2,4.8,2.9,6.2,13.9,15.4,4.1,34.4,3.6,12.7,7.8,6.2
VIRGINIA,2011,6295555.0,67.2,61.1,6.5,5.9,5.7,23.1,12.5,5.7,4.5,4.2,3.3,3.5,5.3,10.8,9.3,5.0,8.8,8.4,10.2,7.5,5.2
WASHINGTON,2011,5269197.0,65.9,59.5,8.4,8.1,7.1,25.4,14.7,7.5,6.1,5.9,6.1,6.2,7.8,13.9,16.4,6.6,15.1,10.9,12.7,10.8,7.7
WEST VIRGINIA,2011,1504751.0,54.9,50.7,7.5,7.8,5.6,27.2,13.9,7.4,4.9,4.0,2.6,4.3,7.3,10.9,18.1,5.9,0.0,10.1,15.8,6.7,7.3
WISCONSIN,2011,4487568.0,68.7,63.7,7.1,7.4,5.7,17.7,11.3,6.5,5.5,5.4,5.0,4.7,6.3,18.9,16.9,7.6,16.7,9.7,14.8,10.6,6.1
WYOMING,2011,436090.0,69.9,66.0,4.7,4.2,4.2,13.5,8.2,4.3,3.2,2.9,5.1,2.6,4.4,17.4,13.5,4.7,15.5,4.4,7.2,6.8,4.2
ALABAMA,2012,3779457.0,59.9,53.4,10.3,9.3,9.6,31.4,18.3,9.6,7.3,5.7,5.7,5.4,8.1,16.3,14.8,5.3,1.8,11.0,16.4,10.8,8.0
ALASKA,2012,545497.0,71.5,62.5,8.4,9.2,6.4,21.3,14.4,8.1,6.2,5.6,3.9,1.9,6.5,8.7,20.3,5.2,6.7,6.8,12.3,6.7,6.6
ARIZONA,2012,4967615.0,61.4,55.0,9.8,9.5,8.4,27.1,14.9,8.5,7.9,7.5,7.6,8.0,8.8,14.4,21.0,7.2,8.2,12.9,14.1,11.9,8.0
ARKANSAS,2012,2285328.0,60.3,54.8,8.6,8.1,7.5,27.2,15.2,8.0,6.1,4.4,5.0,3.6,7.2,16.0,11.1,5.5,14.6,7.3,11.5,7.4,7.2
CALIFORNIA,2012,29163075.0,64.5,57.0,11.0,10.4,10.1,33.1,17.4,9.8,8.8,8.6,8.3,7.1,10.4,17.0,17.1,8.4,15.0,12.6,15.1,12.9,9.3
COLORADO,2012,3955983.0,69.5,63.2,8.0,7.6,6.8,25.8,12.8,6.7,6.4,6.5,7.1,5.3,7.3,15.6,16.9,6.1,11.1,12.3,12.6,11.2,6.8
CONNECTICUT,2012,2859923.0,68.2,61.6,9.2,8.9,8.0,25.1,15.4,8.6,6.8,6.9,8.2,6.7,7.8,16.6,13.2,7.1,12.3,16.5,14.5,14.5,7.4
DELAWARE,2012,718553.0,64.7,58.8,8.4,8.3,7.2,24.0,13.7,7.8,6.5,5.7,6.5,5.9,7.0,12.7,13.3,5.4,0.0,12.4,16.8,10.3,6.9
FLORIDA,2012,15364895.0,60.7,53.5,11.3,11.1,10.0,31.8,17.3,10.3,9.2,9.2,9.5,9.3,10.1,17.3,15.7,7.8,13.5,12.9,14.6,11.7,9.7
GEORGIA,2012,7508748.0,64.5,57.0,10.7,9.8,9.8,33.1,18.6,9.5,7.9,7.7,7.1,6.5,8.3,15.9,16.1,7.0,10.0,9.8,15.1,10.3,8.2
HAWAII,2012,1093852.0,66.5,58.7,6.7,7.1,5.3,23.1,12.3,6.5,4.8,4.4,3.6,4.0,6.6,9.1,7.1,4.2,11.7,7.0,9.6,10.5,6.4
IDAHO,2012,1188341.0,64.6,58.8,8.5,8.4,6.8,24.2,12.9,7.2,6.5,6.7,7.3,4.5,8.2,17.9,17.8,9.0,6.1,10.6,14.1,12.2,7.9
ILLINOIS,2012,10079433.0,66.7,59.9,9.9,9.8,8.5,28.8,15.5,9.0,8.0,7.3,6.0,4.5,8.2,20.0,14.6,7.1,8.8,11.7,14.2,11.7,7.8
INDIANA,2012,5067379.0,65.0,58.8,9.4,9.2,8.2,25.1,15.0,9.0,7.0,6.4,5.7,5.1,8.5,18.0,14.4,6.5,11.3,11.9,14.9,12.6,8.3
IOWA,2012,2405664.0,68.6,64.7,5.6,5.4,4.5,16.9,9.5,4.9,4.3,3.3,3.1,3.2,5.2,15.0,13.4,5.2,10.4,8.0,13.3,9.0,5.1
KANSAS,2012,2208363.0,68.6,63.2,6.7,6.3,5.9,19.9,10.6,6.2,5.0,4.4,3.5,2.6,5.9,16.3,10.7,6.8,13.6,10.0,12.5,9.3,5.7
KENTUCKY,2012,3433526.0,60.3,54.2,9.5,9.3,8.2,26.3,16.2,9.2,6.7,5.6,4.9,4.2,8.9,16.0,16.7,6.2,9.3,8.3,17.9,11.3,8.8
LOUISIANA,2012,3542555.0,61.9,56.3,8.4,8.0,7.4,26.4,14.9,7.8,5.6,5.3,4.7,3.9,6.0,13.8,9.6,5.4,3.4,6.2,10.2,7.8,6.0
MAINE,2012,1089755.0,64.8,59.8,7.4,7.8,5.9,20.7,13.1,7.2,5.6,5.0,5.2,2.8,7.2,18.1,22.2,3.7,5.6,6.9,14.9,14.2,7.2
MARYLAND,2012,4598714.0,69.6,63.6,7.8,7.5,6.6,25.5,14.7,7.0,5.3,5.4,5.3,4.7,6.0,11.8,10.1,4.8,1.0,8.9,10.8,8.5,5.9
MASSACHUSETTS,2012,5320423.0,67.9,62.1,8.5,8.7,6.9,23.1,13.1,7.5,6.8,6.6,7.1,5.9,7.7,14.7,18.7,7.6,9.8,14.2,11.9,13.7,7.4
MICHIGAN,2012,7849558.0,62.3,54.4,12.6,12.9,10.3,31.8,18.5,11.9,9.8,9.1,8.5,7.4,10.8,23.9,16.9,8.0,12.2,16.1,19.3,15.8,10.7
MINNESOTA,2012,4180087.0,70.7,65.7,7.0,7.3,5.4,20.0,11.0,6.1,5.5,5.6,4.3,4.4,6.2,17.6,18.1,8.6,16.1,10.1,14.2,10.2,6.1
MISSISSIPPI,2012,2300867.0,59.2,52.4,10.6,9.7,9.7,34.8,21.6,9.9,6.6,5.6,4.6,4.1,7.4,16.5,15.9,4.3,14.4,10.9,13.2,9.8,7.3
MISSOURI,2012,4729641.0,64.8,58.8,8.5,8.5,7.1,24.2,13.5,7.8,6.6,5.7,5.1,5.3,7.3,18.0,11.8,5.1,10.1,10.7,13.8,9.9,7.2
MONTANA,2012,794385.0,65.1,60.2,6.9,7.2,5.2,21.9,12.2,6.0,5.3,5.0,3.6,4.2,6.0,6.1,21.6,7.9,10.8,6.5,11.6,10.6,5.9
NEBRASKA,2012,1419577.0,71.0,66.7,5.6,5.2,4.7,17.7,9.5,5.0,3.9,3.3,3.2,2.3,4.9,15.5,18.2,5.2,9.3,9.3,11.6,9.7,4.6
NEVADA,2012,2115306.0,66.9,58.5,11.9,11.6,10.3,31.6,17.1,10.3,10.3,10.1,11.4,14.1,11.3,16.5,20.4,9.2,12.9,12.4,15.8,13.2,10.7
