state,year,population,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,violent_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate
WYOMING,2010,563626.0,1104,8.0,164.0,76.0,856.0,13874,2149.0,11134.0,591.0,195.87456930659692,1.4193809370043255,29.097309208588676,13.484118901541093,151.87376025946284,2461.5613899997516,381.28120420278697,1975.42341907577,104.85676672119455
ALABAMA,2011,4802740.0,20174,301.0,1371.0,4910.0,13592.0,173190,51117.0,111411.0,10662.0,420.0518870478102,6.267255774828535,28.54620487471735,102.23330848640568,283.00511791185863,3606.066537018452,1064.329944989735,2319.738316044591,221.99827598412574
ALASKA,2011,722718.0,4383,29.0,420.0,576.0,3358.0,19028,2826.0,14859.0,1343.0,606.4606111927474,4.012630099153473,58.113953160153756,79.69913576249657,464.6348921709436,2632.8388112652515,391.02388483474886,2055.988642873154,185.82628355734877
ARIZONA,2011,6482505.0,26311,405.0,2264.0,7127.0,16515.0,230422,54929.0,155664.0,19829.0,405.8770490728507,6.247584845673084,34.92477059408361,109.94206714842487,254.76262648466914,3554.520976073293,847.3421925629058,2401.293944239148,305.8848392712385
ARKANSAS,2011,2937979.0,14129,162.0,1213.0,2428.0,10326.0,110295,34471.0,70012.0,5812.0,480.9088152093667,5.513994483963296,41.28688462374986,82.64184325347459,351.466092848179,3754.111244498344,1173.289529979622,2382.9986531557915,197.8230613629301
CALIFORNIA,2011,37691912.0,154944,1792.0,7663.0,54292.0,91197.0,973901,230090.0,596963.0,146848.0,411.08023387086337,4.7543356251070525,20.33062159330097,144.04151214191523,241.95376451054008,2583.846104702781,610.4492656143312,1583.7960143810162,389.6008247074333
COLORADO,2011,5116796.0,16383,149.0,2278.0,3306.0,10650.0,133361,25768.0,96546.0,11047.0,320.18083191121946,2.911978511552933,44.52004731085624,64.61074469257714,208.1380613962331,2606.3380287195346,503.5963911791676,1886.8448146066405,215.89682293372653
CONNECTICUT,2011,3580709.0,9767,128.0,686.0,3677.0,5276.0,77609,15679.0,55218.0,6712.0,272.7672089521935,3.5747110418634973,19.158216989987178,102.68916016353187,147.345120756811,2167.4199159998757,437.8741751982638,1542.096830543895,187.4489102577171
DELAWARE,2011,907135.0,5075,41.0,289.0,1538.0,3207.0,30939,7531.0,21878.0,1530.0,559.4536645592993,4.519724186587443,31.85854365667734,169.54477558467042,353.5306211313641,3410.627966068997,830.1961670534155,2411.7689208331726,168.66287818240946
FLORIDA,2011,19057542.0,98199,984.0,5274.0,25622.0,66319.0,671200,170171.0,461408.0,39621.0,515.2763142277215,5.1633101477619725,27.674083048065693,134.44545996540373,347.9934610664901,3521.965214611622,892.9325723117913,2421.1306998562563,207.9019424435743
GEORGIA,2011,9815210.0,36634,554.0,2053.0,12148.0,21879.0,355952,95657.0,230820.0,29475.0,373.237047398884,5.644301038897792,20.916516304796332,123.76709209482017,222.9091379603697,3626.5347353749944,974.5792499600111,2351.6562559537697,300.29922946121377
HAWAII,2011,1374810.0,3949,17.0,434.0,1042.0,2456.0,45889,10008.0,31697.0,4184.0,287.2396913027982,1.2365345029494985,31.56799848706367,75.79229129843397,178.64286701435108,3337.8430474029137,727.9551356187401,2305.554949411191,304.3329623729824
